1,2,4,10,13,14
1,2,5,6,8,12
1,2,5,10,11,15
1,3,4,6,7,11
1,3,11,12,13,14
1,5,8,9,13,15
1,6,8,9,12,13
1,7,9,10,12,15
2,3,4,8,9,10
2,3,5,7,9,14
2,3,6,9,14,15
2,4,6,7,10,12
2,7,8,11,13,15
3,4,5,12,13,15
3,5,7,8,10,14
3,6,8,10,14,15
4,5,6,7,14,15
4,8,9,11,12,14
5,6,9,10,11,13
